Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
GDP (current US$),NY.GDP.MKTP.CD,Afghanistan,AFG,..,..,12439087076.7667,15856574731.4411,17804292964.1045,19907317065.6667,20561069558.2152,20484885119.7348,19907111418.9938,19046357714.4928,19543976895.4248,..
GDP (current US$),NY.GDP.MKTP.CD,Albania,ALB,2028553750,3480355258.04122,12044208085.864,11926957254.6288,12890866742.6533,12319784886.2038,12776280961.155,13228247844.1247,11386931489.7968,11883682170.8236,13038538300.2644,..
GDP (current US$),NY.GDP.MKTP.CD,Algeria,DZA,62045099642.7774,54790245600.5846,137211039898.193,161207268655.392,200019057307.655,209058991952.125,209755003250.664,213810022462.428,165979277276.907,160129866569.935,167555280113.181,..
GDP (current US$),NY.GDP.MKTP.CD,American Samoa,ASM,..,..,678000000,576000000,574000000,644000000,641000000,643000000,661000000,653000000,634000000,..
GDP (current US$),NY.GDP.MKTP.CD,Andorra,AND,1029048481.88051,1434429703.33518,3660530702.97305,3355695364.23841,3442062830.13622,3164615186.94591,3281585236.32501,3350736367.25488,2811489408.89431,2877311946.90265,3012914131.16971,..
GDP (current US$),NY.GDP.MKTP.CD,Angola,AGO,11228764963.1618,9129594818.60749,70307163678.1895,83799496611.6049,111789686464.26,128052853643.447,136709862831.308,145712200312.505,116193649124.475,101123851090.473,122123822333.73,..
GDP (current US$),NY.GDP.MKTP.CD,Antigua and Barbuda,ATG,459469058.888889,830158768.888889,1224253013.7037,1152469068.51852,1142042915.55556,1211411704.44444,1192919619.25926,1275576784.44444,1359194737.40741,1464630213.33333,1510084750.74074,..
GDP (current US$),NY.GDP.MKTP.CD,Argentina,ARG,141352368714.691,284203750000,332976484577.619,423627422092.49,530163281574.658,545982375701.128,552025140252.246,526319673731.638,594749285413.212,554860945013.62,637430331479.469,..
GDP (current US$),NY.GDP.MKTP.CD,Armenia,ARM,2256838858.42714,1911563665.39006,8647936747.98704,9260284937.79782,10142111334.4961,10619320048.5857,11121465767.4067,11609512939.7543,10553337672.9872,10546135160.031,11536590635.8268,..
GDP (current US$),NY.GDP.MKTP.CD,Aruba,ABW,764887117.194486,1873452513.96648,2498882681.56425,2390502793.29609,2549720670.39106,2534636871.50838,2581564245.81006,2649720670.39106,2691620111.73184,2646927374.30168,2700558659.21788,..
GDP (current US$),NY.GDP.MKTP.CD,Australia,AUS,310838014621.008,415034227218.489,926448240318.068,1144260547872.81,1394280784777.68,1543411012579.91,1573696522006.77,1464955475993.76,1349034029453.37,1208039015868.39,1323421072479.07,..
GDP (current US$),NY.GDP.MKTP.CD,Austria,AUT,166463386663.439,196799778883.361,400172297860.517,391892746544.69,431120310088.82,409425234155.263,430068712971.867,441885415805.825,382065930307.978,390799991147.468,416595666396.636,..
GDP (current US$),NY.GDP.MKTP.CD,Azerbaijan,AZE,9063444102.23294,5272617196.04517,44291490420.5026,52902703376.1056,65951627200.2026,69683935845.2138,74164435946.4627,75244294275.1498,53074370486.0433,37867518957.1975,40747792237.9735,..
GDP (current US$),NY.GDP.MKTP.CD,"Bahamas, The",BHS,3166000000,8076470000,9981960000,10095760000,10070450000,10720500000,10627600000,10957300000,11792300000,11838800000,12162100000,..
GDP (current US$),NY.GDP.MKTP.CD,Bahrain,BHR,4229787234.04255,9062906914.89362,22938218085.1064,25713271276.5957,28776595744.6809,30749308510.6383,32539547872.3404,33387712765.9575,31125851063.8298,32152686170.2128,35307127659.5745,..
GDP (current US$),NY.GDP.MKTP.CD,Bangladesh,BGD,31598341233.559,53369787318.6245,102477791472.39,115279077465.226,128637938711.386,133355749482.478,149990451022.29,172885454931.453,195078678697.23,221415188000.475,249723862487.361,..
GDP (current US$),NY.GDP.MKTP.CD,Barbados,BRB,2023318251.8769,3121500000,4479950000,4529900000,4660900000,4656350000,4612500000,4608350000,4584150000,4529050000,4673500000,..
GDP (current US$),NY.GDP.MKTP.CD,Belarus,BLR,21650000000,12736856827.9847,50874078052.2735,58665088956.0255,61757788944.7236,65685102554.8759,75527984234.2342,78813839984.3506,56454734396.5842,47749057078.1996,54456465472.6162,..
GDP (current US$),NY.GDP.MKTP.CD,Belgium,BEL,206430841501.69,237904919845.218,484552792442.345,483548031197.108,527008453886.929,497884216568.867,520925468952.938,530770977633.615,455039563132.776,467545548764.571,492681283049.248,..
GDP (current US$),NY.GDP.MKTP.CD,Belize,BLZ,412086445.492177,832072450,1335217500,1396731700,1486595750,1563827850,1608442150,1692955750,1762500450,1806646250,1862614800,..
